,model,vectorizer,train,test,train_acc,val_acc,roc,precision,recall,smote
0,lr,cvec,0.9518477043673013,0.6952380952380953,0.9657779546358933,0.7965023847376789,0.7662601626016259,0.7263681592039801,0.6666666666666666,0
1,lr,tvec,0.8509423186750428,0.6712962962962964,0.8961400716275368,0.7742448330683624,0.7481233990422096,0.6807511737089202,0.6621004566210046,0
2,cnb,cvec,0.8413793103448276,0.7136929460580913,0.8810187027457222,0.78060413354531,0.7817184541708431,0.6539923954372624,0.7853881278538812,0
3,cnb,tvec,0.8014941302027748,0.6822033898305085,0.8519697572622363,0.7615262321144675,0.7553847867245796,0.6363636363636364,0.7351598173515982,0
4,knn,cvec,0.9861431870669746,0.48666666666666664,0.990449661758854,0.7551669316375199,0.656910569105691,0.9012345679012346,0.3333333333333333,0
5,knn,tvec,0.9826187717265353,0.3611111111111111,0.9880620771985674,0.7074721780604134,0.5979897538701414,0.7536231884057971,0.2374429223744292,0
6,lr,cvec,0.8949972512369434,0.6537634408602151,0.9239952248308795,0.7440381558028617,0.7323978171288562,0.6178861788617886,0.6940639269406392,1
7,lr,tvec,0.847206385404789,0.6607142857142857,0.8933545563072025,0.7583465818759937,0.7391190555741174,0.6462882096069869,0.6757990867579908,1
8,cnb,cvec,0.8416050686378036,0.7254098360655737,0.8806207719856745,0.7869634340222575,0.7919144670898766,0.6579925650557621,0.8082191780821918,1
9,cnb,tvec,0.8074468085106383,0.6804979253112033,0.8559490648627139,0.7551669316375199,0.753697516427219,0.623574144486692,0.7488584474885844,1
10,knn,cvec,0.9544444444444444,0.6098360655737705,0.9673696776760844,0.6216216216216216,0.6746575342465753,0.47570332480818417,0.8493150684931506,1
11,knn,tvec,0.9878962536023055,0.6223662884927066,0.9916434540389972,0.629570747217806,0.6871366521884397,0.4824120603015075,0.8767123287671232,1
