,sentiment,date,text
0,0,mon dec 01 19:30:03 +0000 2014,aaplthe  best steve jobs emails ever
1,0,mon dec 01 19:43:51 +0000 2014,rt jpdesloges why aapl stock had a mini-flash crash today $aapl aapl
2,0,mon dec 01 19:50:28 +0000 2014,my cat only chews apple cords such an applesnob
3,0,mon dec 01 20:26:34 +0000 2014,i agree with jimcramer that the individualinvestor should own not trade apple aapl it's extended so today's pullback is good to see
4,0,mon dec 01 20:29:33 +0000 2014,nobody expects the spanish inquisition aapl
5,0,mon dec 01 20:30:03 +0000 2014,aapl rocket stocks to buy for december gains apple and more
6,0,mon dec 01 20:32:45 +0000 2014,top  all apple tablets damn right
7,0,mon dec 01 20:34:31 +0000 2014,cnbctv apple's margins better than expected aapl
8,0,mon dec 01 20:36:47 +0000 2014,apple inc flash crash what you need to know aapl
9,0,mon dec 01 20:45:03 +0000 2014,aaplthis presentation shows what makes the world's biggest tech companies 
10,1,mon dec 01 20:46:01 +0000 2014,wtf my battery was % one second ago and now is % wtf is this apple
11,0,mon dec 01 20:47:12 +0000 2014,apple watch tops search engine list of best wearable tech aapl iwatch applewatch
12,0,mon dec 01 21:00:15 +0000 2014,the best-designed iphone apps in the world according to apple
13,0,mon dec 01 21:03:32 +0000 2014,rt peterpham bought my augustsmartlock at the apple storepretty good logo match  can't wait to install it
14,1,mon dec 01 21:09:50 +0000 2014,apple contact sync between yosemite and ios is seriously screwed up it used to be much more stable in the past icloud isync
15,0,mon dec 01 21:29:45 +0000 2014,aapl applenws thanks to the non factual dumb twitter followers stock drops  points in one minute thanks dummies rumors
16,1,mon dec 01 21:35:14 +0000 2014,warning if you buy an iphone s unlocked from apple iphone you cannot use it on verizon network
17,0,mon dec 01 21:53:12 +0000 2014,apple- thanks for xtra checkin at upper westside store- but why are appointments running almost  minutes late
18,0,mon dec 01 22:22:09 +0000 2014,why aapl stock had a mini-flash crash today money morning nothing the analysts suggested would make a widel
19,0,mon dec 01 23:12:40 +0000 2014,the jh hines staff with their newly issued apple connected macbook and ipad mini txed
20,0,mon dec 01 23:43:14 +0000 2014,robconeybeer you need an ip portfolio to defend against big companies - just look at samsung apple court battles
21,1,mon dec 01 23:55:55 +0000 2014,apple for the love of gawd center the ''on the damn calendar app you fixed it once its back off center again
22,1,tue dec 02 00:06:05 +0000 2014,i get the storage almost full notification literally every  minutes chill apple
23,1,tue dec 02 00:14:25 +0000 2014,i had to do made the switch from iphone  to the galaxy note edge apple keep up
24,1,tue dec 02 00:15:11 +0000 2014, me rt baemations can't stand those ppl with apple stickers everywhere  they prob just bought an ipod shuffle
25,0,tue dec 02 00:15:14 +0000 2014,justice department cites th century federal law to get apple to unlock iphones
26,0,tue dec 02 00:15:16 +0000 2014,latest apple products leading in efficiency apple iphone ipad plugloads
27,0,tue dec 02 00:16:03 +0000 2014,good be huge rt thehill justice department cites th century federal law to get apple to unlock iphones
28,0,tue dec 02 00:16:04 +0000 2014,thehill apple i cite the th amendment as a retort
29,0,tue dec 02 00:17:02 +0000 2014,rt saxonidubom rwang apple thanksthinking of upgrading
30,0,tue dec 02 00:22:26 +0000 2014,way to stay relevant rt thehill justice department cites th century federal law to get apple to unlock iphones
31,0,tue dec 02 00:22:31 +0000 2014,apple inc flash crash what you need to know aapl
32,0,tue dec 02 00:23:47 +0000 2014,need help on using your apple iphone  iphoneplus  checkitout applenws apple
33,1,tue dec 02 00:24:47 +0000 2014,that flash crash really screwed with a lot of traders today not me im more determined than ever to make trading work for me aapl
34,0,tue dec 02 00:25:38 +0000 2014,rt trahall the jh hines staff with their newly issued apple connected macbook and ipad mini txed txed
35,1,tue dec 02 00:27:23 +0000 2014,nigga update yall headphones apple
36,1,tue dec 02 00:29:58 +0000 2014,ok apple you win i won't use your browser anymore since it keeps closing on me literally  times today i counted
37,1,tue dec 02 00:32:42 +0000 2014,thehill apple i cite the us constitution where judges cannot pass laws violation of the separation of powers
38,1,tue dec 02 00:34:51 +0000 2014,apple u need to get ur fucking shit together and let me txt while on youtube
39,1,tue dec 02 00:38:41 +0000 2014,thehill apple wish we could prosecute the admin for violation of privacy and criminal search and seizure
40,0,tue dec 02 00:39:51 +0000 2014,thehill apple furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the us gov
41,1,tue dec 02 00:45:03 +0000 2014,aaplhere's why apple dropped
42,0,tue dec 02 00:45:22 +0000 2014,this one chart explains timcook's affect on apple paints an interesting story what do you think
43,0,tue dec 02 00:51:10 +0000 2014,final aapl putcallratios for monday december  
44,0,tue dec 02 00:53:22 +0000 2014,aapl launches red apple logo for world aids day dec  is world aids day and the red apple logo will be abl
45,1,tue dec 02 00:53:58 +0000 2014,hey apple fuck you
46,0,tue dec 02 00:54:31 +0000 2014, companies growing faster than apple inc aapl
47,1,tue dec 02 00:56:11 +0000 2014,apple why doesn't your people explain precautions when buying an expensive laptop
48,0,tue dec 02 00:59:49 +0000 2014,quailman apple u was bored huh
49,0,tue dec 02 01:04:41 +0000 2014,rt wagnertim robconeybeer you need an ip portfolio to defend against big companies - just look at samsung apple court battles
50,1,tue dec 02 01:05:37 +0000 2014,as a die hard apple customer i must say i am truly displeased with the customer service i was given today badservice apple
51,1,tue dec 02 01:06:42 +0000 2014,apple made it clear today that i as a customer are not worth a measly $ an employee gave mis info and they will not stand behind it
52,0,tue dec 02 01:06:58 +0000 2014,inspi(red) by apple and timcook on worldaidsday % of appsforred in appstore go to fight aids get farmville and csrracing red
53,0,tue dec 02 01:09:53 +0000 2014,gb apple ipad air  retina wifi tablet $ + free shipping via ebay cybermonday firstworldproblems
